sample_name	seqnames	start	end	width	strand	score	annotation_detailed	annotation_simple	tss_distance	gene_seqnames	gene_start	gene_end	gene_width	gene_strand	gene_id	transcript_id	species	sample_source	gene_marking_percent
Mouse BM (37.00%)	6	40833169	40833169	1	+	107	Exon (ENSMUST00000195870/ENSMUSG00000102802, exon 42 of 47)	Exon	31259	6	40855728	40864428	8701	2	ENSMUSG00000029885	ENSMUST00000031937	Mmusculus	bm	37
Mouse BM (37.00%)	11	97644574	97644574	1	+	104	Promoter (1-2kb)	Promoter	-1038	11	97638494	97643536	5043	2	ENSMUSG00000018541	ENSMUST00000152395	Mmusculus	bm	37
Mouse BM (37.00%)	5	15928429	15928429	1	+	94	Distal Intergenic	Distal Intergenic	-9160	5	15916555	15919269	2715	2	ENSMUSG00000073208	ENSMUST00000179506	Mmusculus	bm	37
Mouse BM (37.00%)	2	134802072	134802072	1	+	92	Intron (ENSMUST00000131552/ENSMUSG00000051177, intron 2 of 32)	Intron	156203	2	134645869	134646348	480	1	ENSMUSG00000082399	ENSMUST00000118248	Mmusculus	bm	37
Mouse BM (37.00%)	9	120218135	120218135	1	+	79	Intron (ENSMUST00000133173/ENSMUSG00000041794, intron 3 of 5)	Intron	2760	9	120215375	120262017	46643	1	ENSMUSG00000041794	ENSMUST00000214784	Mmusculus	bm	37
Mouse BM (37.00%)	11	52166817	52166817	1	-	78	Promoter (<=1kb)	Promoter	-65	11	52166882	52177006	10125	1	ENSMUSG00000086395	ENSMUST00000150973	Mmusculus	bm	37
Mouse BM (37.00%)	13	92494291	92494291	1	+	58	Intron (ENSMUST00000022218/ENSMUSG00000021707, intron 2 of 5)	Intron	-2780	13	92348394	92491511	143118	2	ENSMUSG00000014850	ENSMUST00000022220	Mmusculus	bm	37
Mouse BM (37.00%)	7	116127187	116127187	1	-	53	Promoter (<=1kb)	Promoter	-860	7	116128047	116135268	7222	1	ENSMUSG00000030659	ENSMUST00000183335	Mmusculus	bm	37
Mouse BM (37.00%)	6	37681156	37681156	1	-	39	Distal Intergenic	Distal Intergenic	-17026	6	37663174	37664130	957	2	ENSMUSG00000107035	ENSMUST00000201305	Mmusculus	bm	37
Mouse BM (37.00%)	5	32571002	32571002	1	+	33	Distal Intergenic	Distal Intergenic	-6345	5	32577347	32578316	970	1	ENSMUSG00000107211	ENSMUST00000202263	Mmusculus	bm	37
Mouse BM (37.00%)	14	98876281	98876281	1	+	29	Distal Intergenic	Distal Intergenic	14655	14	98861626	98861732	107	1	ENSMUSG00000119462	ENSMUST00000180098	Mmusculus	bm	37
Mouse BM (37.00%)	2	49809227	49809227	1	-	28	Intron (ENSMUST00000028103/ENSMUSG00000026765, intron 4 of 9)	Intron	-12335	2	49796783	49796892	110	2	ENSMUSG00002075205	ENSMUST00020182868	Mmusculus	bm	37
Mouse BM (37.00%)	1	94712207	94712207	1	-	27	Distal Intergenic	Distal Intergenic	-12601	1	94724808	94730177	5370	1	ENSMUSG00000100518	ENSMUST00000190754	Mmusculus	bm	37
Mouse BM (37.00%)	11	6087013	6087013	1	+	27	Intron (ENSMUST00000066496/ENSMUSG00000053838, intron 3 of 5)	Intron	-17604	11	6055986	6069409	13424	2	ENSMUSG00000053838	ENSMUST00000109805	Mmusculus	bm	37
Mouse BM (37.00%)	16	42821724	42821724	1	+	26	Intron (ENSMUST00000126354/ENSMUSG00000022708, intron 2 of 7)	Intron	45730	16	42775994	42776312	319	1	ENSMUSG00000081824	ENSMUST00000121906	Mmusculus	bm	37
Mouse BM (37.00%)	13	60194276	60194276	1	-	24	Intron (ENSMUST00000225266/ENSMUSG00000114531, intron 1 of 2)	Intron	11163	13	60201498	60205439	3942	2	ENSMUSG00000114795	ENSMUST00000223983	Mmusculus	bm	37
Mouse BM (37.00%)	2	9936136	9936136	1	+	23	Intron (ENSMUST00000026888/ENSMUSG00000025782, intron 4 of 6)	Intron	10426	2	9920102	9946562	26461	2	ENSMUSG00000025782	ENSMUST00000129720	Mmusculus	bm	37
Mouse BM (37.00%)	6	107768523	107768523	1	-	22	Distal Intergenic	Distal Intergenic	-89511	6	107858034	107858646	613	1	ENSMUSG00000107475	ENSMUST00000204520	Mmusculus	bm	37
Mouse BM (37.00%)	1	179795069	179795069	1	-	20	Intron (ENSMUST00000097453/ENSMUSG00000026490, intron 1 of 34)	Intron	6394	1	179788675	179989731	201057	1	ENSMUSG00000026490	ENSMUST00000076687	Mmusculus	bm	37
Mouse BM (37.00%)	14	102726422	102726422	1	-	20	Distal Intergenic	Distal Intergenic	51963	14	102674459	102702430	27972	1	ENSMUSG00000115696	ENSMUST00000228104	Mmusculus	bm	37
Mouse BM (37.00%)	6	143033574	143033574	1	+	18	Intron (ENSMUST00000087485/ENSMUSG00000030279, intron 3 of 24)	Intron	-6428	6	143018379	143027146	8768	2	ENSMUSG00000030279	ENSMUST00000204160	Mmusculus	bm	37
Mouse BM (37.00%)	10	20234881	20234881	1	-	17	Intron (ENSMUST00000169712/ENSMUSG00000019992, intron 6 of 6)	Intron	6302	10	20240756	20241183	428	2	ENSMUSG00000111351	ENSMUST00000213596	Mmusculus	bm	37
Mouse BM (37.00%)	11	107579151	107579151	1	+	15	3' UTR	3' UTR	15365	11	107563786	107577339	13554	1	ENSMUSG00000020721	ENSMUST00000153080	Mmusculus	bm	37
Mouse BM (37.00%)	19	22993264	22993264	1	+	15	Intron (ENSMUST00000236056/ENSMUSG00000097930, intron 1 of 1)	Intron	-45527	19	23038791	23041396	2606	1	ENSMUSG00000118155	ENSMUST00000237212	Mmusculus	bm	37
Mouse BM (37.00%)	4	95515195	95515195	1	+	14	Intron (ENSMUST00000079223/ENSMUSG00000028573, intron 5 of 15)	Intron	3402	4	95511793	95627159	115367	1	ENSMUSG00000028573	ENSMUST00000143742	Mmusculus	bm	37
Mouse BM (37.00%)	9	31039014	31039014	1	+	14	Intron (ENSMUST00000034478/ENSMUSG00000031995, intron 1 of 18)	Intron	4009	9	31017440	31043023	25584	2	ENSMUSG00000031995	ENSMUST00000214418	Mmusculus	bm	37
Mouse BM (37.00%)	18	40199402	40199402	1	+	14	Distal Intergenic	Distal Intergenic	43384	18	40204608	40242786	38179	2	ENSMUSG00000118042	ENSMUST00000235427	Mmusculus	bm	37
Mouse BM (37.00%)	9	71909105	71909105	1	-	13	Promoter (1-2kb)	Promoter	-1347	9	71790014	71907758	117745	2	ENSMUSG00000032228	ENSMUST00000184416	Mmusculus	bm	37
Mouse BM (37.00%)	11	31849139	31849139	1	+	12	Intron (ENSMUST00000020543/ENSMUSG00000020300, intron 2 of 9)	Intron	25864	11	31823275	31885634	62360	1	ENSMUSG00000020300	ENSMUST00000155278	Mmusculus	bm	37
Mouse BM (37.00%)	18	84220821	84220821	1	-	12	Promoter (<=1kb)	Promoter	-228	18	84221049	84227799	6751	1	ENSMUSG00000118385	ENSMUST00000238064	Mmusculus	bm	37
Mouse BM (37.00%)	5	52041876	52041876	1	-	11	Distal Intergenic	Distal Intergenic	-4932	5	52032761	52036944	4184	2	ENSMUSG00000106010	ENSMUST00000198989	Mmusculus	bm	37
Mouse BM (37.00%)	5	136409225	136409225	1	+	11	Intron (ENSMUST00000148082/ENSMUSG00000086220, intron 1 of 4)	Intron	-4568	5	136404570	136404657	88	2	ENSMUSG00000106479	ENSMUST00000200230	Mmusculus	bm	37
Mouse BM (37.00%)	8	79545021	79545021	1	-	11	Intron (ENSMUST00000130325/ENSMUSG00000031683, intron 2 of 4)	Intron	2748	8	79533080	79547769	14690	2	ENSMUSG00000031683	ENSMUST00000051867	Mmusculus	bm	37
Mouse BM (37.00%)	19	22479209	22479209	1	-	11	Intron (ENSMUST00000237357/ENSMUSG00000052387, intron 1 of 24)	Intron	-52980	19	22415914	22426229	10316	2	ENSMUSG00000098739	ENSMUST00000185015	Mmusculus	bm	37
Mouse BM (37.00%)	5	119778323	119778323	1	+	10	Intron (ENSMUST00000243385/ENSMUSG00000087516, intron 1 of 5)	Intron	-5876	5	119784199	119797327	13129	1	ENSMUSG00000085345	ENSMUST00000154997	Mmusculus	bm	37
Mouse BM (37.00%)	8	34892020	34892020	1	-	10	Intron (ENSMUST00000210285/ENSMUSG00000110369, intron 5 of 6)	Intron	-39038	8	34847698	34852982	5285	2	ENSMUSG00000110178	ENSMUST00000211696	Mmusculus	bm	37
Mouse BM (37.00%)	8	116539494	116539494	1	-	10	Distal Intergenic	Distal Intergenic	-17762	8	116557256	116568699	11444	1	ENSMUSG00000120146	ENSMUST00000245824	Mmusculus	bm	37
Mouse BM (37.00%)	11	59965072	59965072	1	+	10	Distal Intergenic	Distal Intergenic	-25301	11	59990373	59990499	127	1	ENSMUSG00002076193	ENSMUST00020183226	Mmusculus	bm	37
Mouse BM (37.00%)	18	73727405	73727405	1	-	10	Distal Intergenic	Distal Intergenic	-17182	18	73744587	73744693	107	1	ENSMUSG00000064527	ENSMUST00000082593	Mmusculus	bm	37
Mouse BM (37.00%)	1	126228118	126228118	1	-	9	Intron (ENSMUST00000161954/ENSMUSG00000049690, intron 3 of 14)	Intron	24293	1	126251372	126252411	1040	2	ENSMUSG00000103824	ENSMUST00000192213	Mmusculus	bm	37
Mouse BM (37.00%)	3	9993822	9993822	1	+	9	Distal Intergenic	Distal Intergenic	29332	3	9964490	9967437	2948	1	ENSMUSG00000102795	ENSMUST00000193785	Mmusculus	bm	37
Mouse BM (37.00%)	6	114209269	114209269	1	-	8	Intron (ENSMUST00000032451/ENSMUSG00000030307, intron 8 of 13)	Intron	-50327	6	114259596	114294493	34898	1	ENSMUSG00000030310	ENSMUST00000247868	Mmusculus	bm	37
Mouse BM (37.00%)	13	18951955	18951955	1	+	8	Intron (ENSMUST00000072961/ENSMUSG00000041236, intron 4 of 28)	Intron	-12058	13	18964013	19011825	47813	1	ENSMUSG00000041236	ENSMUST00000222813	Mmusculus	bm	37
Mouse BM (37.00%)	13	93811700	93811700	1	-	8	Intron (ENSMUST00000048001/ENSMUSG00000042102, intron 1 of 15)	Intron	759	13	93810941	93889341	78401	1	ENSMUSG00000042102	ENSMUST00000048001	Mmusculus	bm	37
Mouse BM (37.00%)	18	52745351	52745351	1	+	8	Distal Intergenic	Distal Intergenic	-3636	18	52748987	52772902	23916	1	ENSMUSG00000046886	ENSMUST00000072666	Mmusculus	bm	37
Mouse BM (37.00%)	X	52489919	52489919	1	+	8	Distal Intergenic	Distal Intergenic	-17289	20	52507208	52507844	637	1	ENSMUSG00000083798	ENSMUST00000118956	Mmusculus	bm	37
Mouse BM (37.00%)	3	103491101	103491101	1	-	7	Intron (ENSMUST00000121834/ENSMUSG00000027849, intron 1 of 6)	Intron	7643	3	103483458	103534872	51415	1	ENSMUSG00000027849	ENSMUST00000118117	Mmusculus	bm	37
Mouse BM (37.00%)	15	38973025	38973025	1	-	7	Intron (ENSMUST00000022908/ENSMUSG00000022299, intron 1 of 6)	Intron	3002	15	38958363	38976027	17665	2	ENSMUSG00000022299	ENSMUST00000228160	Mmusculus	bm	37
Mouse BM (37.00%)	19	30555076	30555076	1	-	7	Intron (ENSMUST00000065067/ENSMUSG00000052920, intron 16 of 17)	Intron	-3521	19	30546361	30551555	5195	2	ENSMUSG00000052920	ENSMUST00000183135	Mmusculus	bm	37
Mouse BM (37.00%)	4	32597808	32597808	1	+	6	Intron (ENSMUST00000219644/ENSMUSG00000051056, intron 1 of 1)	Intron	4952	4	32596960	32602760	5801	2	ENSMUSG00000051056	ENSMUST00000219644	Mmusculus	bm	37
Mouse BM (37.00%)	11	100610476	100610476	1	-	6	Intron (ENSMUST00000107364/ENSMUSG00000019173, intron 2 of 5)	Intron	5728	11	100604748	100605399	652	1	ENSMUSG00000017832	ENSMUST00000017976	Mmusculus	bm	37
Mouse BM (37.00%)	19	32117622	32117622	1	+	6	Intron (ENSMUST00000099514/ENSMUSG00000040451, intron 7 of 9)	Intron	20001	19	32101547	32137623	36077	2	ENSMUSG00000040451	ENSMUST00000134415	Mmusculus	bm	37
Mouse BM (37.00%)	2	58258049	58258049	1	-	5	Distal Intergenic	Distal Intergenic	-10142	2	58157465	58247907	90443	2	ENSMUSG00000026834	ENSMUST00000028178	Mmusculus	bm	37
Mouse BM (37.00%)	2	181434485	181434485	1	+	5	Intron (ENSMUST00000081125/ENSMUSG00000010505, intron 4 of 22)	Intron	-3615	2	181438100	181469525	31426	1	ENSMUSG00000010505	ENSMUST00000130079	Mmusculus	bm	37
Mouse BM (37.00%)	3	89000757	89000757	1	+	5	Promoter (<=1kb)	Promoter	-139	3	88991288	89000618	9331	2	ENSMUSG00000041263	ENSMUST00000052539	Mmusculus	bm	37
Mouse BM (37.00%)	7	29844561	29844561	1	+	5	Distal Intergenic	Distal Intergenic	-6705	7	29851266	29852353	1088	1	ENSMUSG00000108926	ENSMUST00000209150	Mmusculus	bm	37
Mouse BM (37.00%)	11	101112467	101112467	1	-	5	Intron (ENSMUST00000107284/ENSMUSG00000006920, intron 1 of 20)	Intron	4785	11	101088215	101117252	29038	2	ENSMUSG00000006920	ENSMUST00000100417	Mmusculus	bm	37
Mouse BM (37.00%)	12	72093545	72093545	1	-	5	Distal Intergenic	Distal Intergenic	2488	12	72095483	72096033	551	2	ENSMUSG00000114155	ENSMUST00000221336	Mmusculus	bm	37
Mouse BM (37.00%)	14	33691798	33691798	1	-	5	3' UTR	3' UTR	8923	14	33689027	33700721	11695	2	ENSMUSG00000044519	ENSMUST00000166737	Mmusculus	bm	37
Mouse BM (37.00%)	1	162208920	162208920	1	+	4	Intron (ENSMUST00000086074/ENSMUSG00000040265, intron 2 of 20)	Intron	25984	1	162232435	162234904	2470	2	ENSMUSG00000040265	ENSMUST00000195768	Mmusculus	bm	37
Mouse BM (37.00%)	2	148143855	148143855	1	+	4	Distal Intergenic	Distal Intergenic	-93409	2	148237264	148238687	1424	1	ENSMUSG00000037014	ENSMUST00000109962	Mmusculus	bm	37
Mouse BM (37.00%)	3	34105432	34105432	1	+	4	Intron (ENSMUST00000001620/ENSMUSG00000027680, intron 9 of 16)	Intron	4146	3	34108484	34109578	1095	2	ENSMUSG00000105135	ENSMUST00000198616	Mmusculus	bm	37
Mouse BM (37.00%)	5	31115746	31115746	1	-	4	Exon (ENSMUST00000202930/ENSMUSG00000045302, exon 3 of 3)	Exon	260	5	31115320	31116006	687	2	ENSMUSG00000045302	ENSMUST00000200756	Mmusculus	bm	37
Mouse BM (37.00%)	12	49802546	49802546	1	+	4	Distal Intergenic	Distal Intergenic	21012	12	49822898	49823558	661	2	ENSMUSG00000112605	ENSMUST00000220112	Mmusculus	bm	37
Mouse BM (37.00%)	13	23012950	23012950	1	-	4	Promoter (<=1kb)	Promoter	-666	13	23011364	23012284	921	2	ENSMUSG00000061296	ENSMUST00000072044	Mmusculus	bm	37
Mouse BM (37.00%)	14	14647668	14647668	1	-	4	Intron (ENSMUST00000052678/ENSMUSG00000025278, intron 1 of 45)	Intron	4148	14	14518185	14651816	133632	2	ENSMUSG00000025278	ENSMUST00000052678	Mmusculus	bm	37
Mouse BM (37.00%)	15	6739597	6739597	1	+	4	Intron (ENSMUST00000228918/ENSMUSG00000050310, intron 2 of 9)	Intron	1733	15	6737864	6829882	92019	1	ENSMUSG00000050310	ENSMUST00000061656	Mmusculus	bm	37
Mouse BM (37.00%)	2	76130171	76130171	1	-	3	Intron (ENSMUST00000099992/ENSMUSG00000075270, intron 1 of 19)	Intron	-18655	2	76148826	76148939	114	1	ENSMUSG00002076140	ENSMUST00020183638	Mmusculus	bm	37
Mouse BM (37.00%)	3	41569637	41569637	1	-	3	3' UTR	3' UTR	12772	3	41556865	41559242	2378	1	ENSMUSG00000025764	ENSMUST00000192300	Mmusculus	bm	37
Mouse BM (37.00%)	6	127508800	127508800	1	-	3	Distal Intergenic	Distal Intergenic	-29501	6	127538301	127651211	112911	1	ENSMUSG00000061414	ENSMUST00000212051	Mmusculus	bm	37
Mouse BM (37.00%)	9	6140805	6140805	1	-	3	Distal Intergenic	Distal Intergenic	-27779	9	6168584	6378845	210262	1	ENSMUSG00000032006	ENSMUST00000058692	Mmusculus	bm	37
Mouse BM (37.00%)	10	52147015	52147015	1	-	3	Intron (ENSMUST00000069004/ENSMUSG00000019891, intron 2 of 10)	Intron	37282	10	52109733	52197474	87742	1	ENSMUSG00000019891	ENSMUST00000218582	Mmusculus	bm	37
Mouse BM (37.00%)	15	78429429	78429429	1	-	3	Promoter (<=1kb)	Promoter	-544	15	78421208	78428885	7678	2	ENSMUSG00000044933	ENSMUST00000053239	Mmusculus	bm	37
Mouse BM (37.00%)	X	111376330	111376330	1	-	3	Distal Intergenic	Distal Intergenic	1772	20	111374558	111376322	1765	1	ENSMUSG00000083818	ENSMUST00000120930	Mmusculus	bm	37
Mouse BM (37.00%)	4	136058271	136058271	1	-	2	Intron (ENSMUST00000131671/ENSMUSG00000066037, intron 6 of 9)	Intron	-5113	4	136063384	136066584	3201	1	ENSMUSG00000066037	ENSMUST00000153505	Mmusculus	bm	37
Mouse BM (37.00%)	5	62872656	62872656	1	+	2	Intron (ENSMUST00000076623/ENSMUSG00000037999, intron 6 of 32)	Intron	15508	5	62863960	62888164	24205	2	ENSMUSG00000037999	ENSMUST00000161911	Mmusculus	bm	37
Mouse BM (37.00%)	6	70847939	70847939	1	-	2	Intron (ENSMUST00000034093/ENSMUSG00000031668, intron 2 of 16)	Intron	-7606	6	70855545	70870420	14876	1	ENSMUSG00000031668	ENSMUST00000159401	Mmusculus	bm	37
Mouse BM (37.00%)	14	64511648	64511648	1	+	2	Intron (ENSMUST00000067927/ENSMUSG00000054733, intron 8 of 10)	Intron	142749	14	64360075	64654397	294323	2	ENSMUSG00000054733	ENSMUST00000210428	Mmusculus	bm	37
Mouse BM (37.00%)	16	79787304	79787304	1	-	2	Distal Intergenic	Distal Intergenic	-8960	16	79796264	79797434	1171	1	ENSMUSG00000101810	ENSMUST00000191029	Mmusculus	bm	37
Mouse BM (37.00%)	19	22451369	22451369	1	-	2	Intron (ENSMUST00000237357/ENSMUSG00000052387, intron 1 of 24)	Intron	-25140	19	22415914	22426229	10316	2	ENSMUSG00000098739	ENSMUST00000185015	Mmusculus	bm	37
Mouse BM (37.00%)	19	24857339	24857339	1	-	2	Distal Intergenic	Distal Intergenic	4289	19	24853050	24853995	946	1	ENSMUSG00000058927	ENSMUST00000073080	Mmusculus	bm	37
Mouse BM (38.90%)	13	23879039	23879039	1	+	46	Promoter (<=1kb)	Promoter	-758	13	23879797	23880708	912	1	ENSMUSG00000036211	ENSMUST00000041052	Mmusculus	bm	38.9
Mouse BM (38.90%)	2	69865830	69865830	1	+	24	Distal Intergenic	Distal Intergenic	-3425	2	69869255	69872750	3496	1	ENSMUSG00000086132	ENSMUST00000140978	Mmusculus	bm	38.9
Mouse BM (38.90%)	2	84756663	84756663	1	+	19	Promoter (1-2kb)	Promoter	-1755	2	84758418	84758519	102	1	ENSMUSG00002076794	ENSMUST00020182082	Mmusculus	bm	38.9
Mouse BM (38.90%)	13	44888204	44888204	1	+	16	Intron (ENSMUST00000174068/ENSMUSG00000038518, intron 2 of 3)	Intron	688	13	44887516	45027790	140275	1	ENSMUSG00000038518	ENSMUST00000172581	Mmusculus	bm	38.9
Mouse BM (38.90%)	14	65583788	65583788	1	+	12	Distal Intergenic	Distal Intergenic	-12050	14	65595838	65623837	28000	1	ENSMUSG00000034522	ENSMUST00000224623	Mmusculus	bm	38.9
Mouse BM (38.90%)	3	139014743	139014743	1	-	9	Intron (ENSMUST00000106239/ENSMUSG00000047940, intron 8 of 13)	Intron	-102813	3	139117556	139117997	442	1	ENSMUSG00000104992	ENSMUST00000196571	Mmusculus	bm	38.9
Mouse BM (38.90%)	5	132189659	132189659	1	-	9	Intron (ENSMUST00000161226/ENSMUSG00000029673, intron 2 of 18)	Intron	42348	5	132230678	132232007	1330	2	ENSMUSG00000105495	ENSMUST00000197047	Mmusculus	bm	38.9
Mouse BM (38.90%)	18	5518045	5518045	1	+	9	Intron (ENSMUST00000161921/ENSMUSG00000063087, intron 6 of 6)	Intron	3064	18	5518415	5521109	2695	2	ENSMUSG00000063087	ENSMUST00000177190	Mmusculus	bm	38.9
Mouse BM (38.90%)	3	28555877	28555877	1	+	8	Intron (ENSMUST00000160934/ENSMUSG00000027692, intron 3 of 31)	Intron	-36550	3	28592427	28594241	1815	1	ENSMUSG00000027692	ENSMUST00000193721	Mmusculus	bm	38.9
Mouse BM (38.90%)	9	48974221	48974221	1	+	8	Intron (ENSMUST00000034803/ENSMUSG00000032264, intron 6 of 15)	Intron	-3786	9	48978007	48990075	12069	1	ENSMUSG00000032264	ENSMUST00000213787	Mmusculus	bm	38.9
Mouse BM (38.90%)	18	6398990	6398990	1	+	8	Distal Intergenic	Distal Intergenic	-27330	18	6371352	6371660	309	2	ENSMUSG00000095614	ENSMUST00000179994	Mmusculus	bm	38.9
Mouse BM (38.90%)	1	15958672	15958672	1	-	6	Intron (ENSMUST00000040695/ENSMUSG00000032719, intron 1 of 4)	Intron	4274	1	15924086	15962946	38861	2	ENSMUSG00000032719	ENSMUST00000040695	Mmusculus	bm	38.9
Mouse BM (38.90%)	2	152872179	152872179	1	-	6	Promoter (1-2kb)	Promoter	-1593	2	152873772	152897695	23924	1	ENSMUSG00000042631	ENSMUST00000037235	Mmusculus	bm	38.9
Mouse BM (38.90%)	4	59006981	59006981	1	+	6	Intron (ENSMUST00000148366/ENSMUSG00000070972, intron 2 of 3)	Intron	3788	4	59003193	59023740	20548	1	ENSMUSG00000070972	ENSMUST00000153467	Mmusculus	bm	38.9
Mouse BM (38.90%)	15	66136493	66136493	1	+	6	Intron (ENSMUST00000070256/ENSMUSG00000056258, intron 1 of 14)	Intron	21407	15	66154922	66157900	2979	2	ENSMUSG00000056258	ENSMUST00000183633	Mmusculus	bm	38.9
Mouse BM (38.90%)	9	37453138	37453138	1	+	5	Promoter (<=1kb)	Promoter	-156	9	37453294	37453989	696	1	ENSMUSG00000001943	ENSMUST00000215710	Mmusculus	bm	38.9
Mouse BM (38.90%)	14	13802494	13802494	1	+	5	Intron (ENSMUST00000181914/ENSMUSG00000097898, intron 2 of 4)	Intron	833	14	13796588	13803327	6740	2	ENSMUSG00000097898	ENSMUST00000224776	Mmusculus	bm	38.9
Mouse BM (38.90%)	X	164947147	164947147	1	+	5	Distal Intergenic	Distal Intergenic	-6303	20	164953450	164972800	19351	1	ENSMUSG00000040621	ENSMUST00000130880	Mmusculus	bm	38.9
Mouse BM (38.90%)	1	173122187	173122187	1	-	4	Distal Intergenic	Distal Intergenic	-16843	1	173101949	173105344	3396	2	ENSMUSG00000079180	ENSMUST00000111224	Mmusculus	bm	38.9
Mouse BM (38.90%)	11	44022105	44022105	1	+	4	Intron (ENSMUST00000148504/ENSMUSG00000087172, intron 6 of 6)	Intron	135931	11	44156390	44158036	1647	2	ENSMUSG00000086738	ENSMUST00000145584	Mmusculus	bm	38.9
Mouse BM (38.90%)	14	14377046	14377046	1	-	4	Distal Intergenic	Distal Intergenic	2649	14	14379219	14379695	477	2	ENSMUSG00000023156	ENSMUST00000180369	Mmusculus	bm	38.9
Mouse BM (38.90%)	16	55530857	55530857	1	-	4	Distal Intergenic	Distal Intergenic	-29424	16	55560281	55560515	235	1	ENSMUSG00000116969	ENSMUST00000232350	Mmusculus	bm	38.9
Mouse BM (38.90%)	18	61555267	61555267	1	-	4	Distal Intergenic	Distal Intergenic	12005	18	61566573	61567272	700	2	ENSMUSG00000118286	ENSMUST00000235755	Mmusculus	bm	38.9
Mouse BM (38.90%)	19	24873691	24873691	1	-	4	Distal Intergenic	Distal Intergenic	4870	19	24876600	24878561	1962	2	ENSMUSG00000051490	ENSMUST00000058600	Mmusculus	bm	38.9
Mouse BM (38.90%)	2	119791677	119791677	1	-	3	Intron (ENSMUST00000046717/ENSMUSG00000033943, intron 23 of 24)	Intron	791	2	119790886	119792704	1819	1	ENSMUSG00000033943	ENSMUST00000131396	Mmusculus	bm	38.9
Mouse BM (38.90%)	4	58648184	58648184	1	-	3	Downstream (<=300bp)	Downstream	10408	4	58648392	58658592	10201	2	ENSMUSG00000086470	ENSMUST00000127456	Mmusculus	bm	38.9
Mouse BM (38.90%)	5	20354201	20354201	1	-	3	Intron (ENSMUST00000197354/ENSMUSG00000040003, intron 3 of 21)	Intron	-34756	5	20319318	20319445	128	2	ENSMUSG00000077171	ENSMUST00000103983	Mmusculus	bm	38.9
Mouse BM (38.90%)	1	130699971	130699971	1	-	2	Intron (ENSMUST00000189150/ENSMUSG00000100106, intron 2 of 3)	Intron	5850	1	130694121	130712170	18050	1	ENSMUSG00000100106	ENSMUST00000189150	Mmusculus	bm	38.9
Mouse BM (38.90%)	2	9281644	9281644	1	-	2	Distal Intergenic	Distal Intergenic	-6324	2	9274891	9275320	430	2	ENSMUSG00000083423	ENSMUST00000121712	Mmusculus	bm	38.9
Mouse BM (38.90%)	2	28903975	28903975	1	-	2	Intron (ENSMUST00000189027/ENSMUSG00000079502, intron 1 of 6)	Intron	25397	2	28817846	28929372	111527	2	ENSMUSG00000079502	ENSMUST00000190049	Mmusculus	bm	38.9
Mouse BM (38.90%)	3	36535970	36535970	1	-	2	Exon (ENSMUST00000029268/ENSMUSG00000027713, exon 3 of 3)	Exon	5884	3	36530086	36536448	6363	1	ENSMUSG00000027713	ENSMUST00000029268	Mmusculus	bm	38.9
Mouse BM (38.90%)	3	108190532	108190532	1	-	2	Promoter (<=1kb)	Promoter	-866	3	108191398	108268759	77362	1	ENSMUSG00000068747	ENSMUST00000135636	Mmusculus	bm	38.9
Mouse BM (38.90%)	4	141781966	141781966	1	-	2	Intron (ENSMUST00000036572/ENSMUSG00000040616, intron 1 of 2)	Intron	-6077	4	141770223	141775889	5667	2	ENSMUSG00000085574	ENSMUST00000128385	Mmusculus	bm	38.9
Mouse BM (62.20%)	5	20354201	20354201	1	-	358	Intron (ENSMUST00000197354/ENSMUSG00000040003, intron 3 of 21)	Intron	-34756	5	20319318	20319445	128	2	ENSMUSG00000077171	ENSMUST00000103983	Mmusculus	bm	62.2
Mouse BM (62.20%)	1	69595700	69595700	1	+	240	Intron (ENSMUST00000027146/ENSMUSG00000025997, intron 5 of 7)	Intron	41981	1	69634195	69637681	3487	2	ENSMUSG00000100815	ENSMUST00000188962	Mmusculus	bm	62.2
Mouse BM (62.20%)	13	24794505	24794505	1	-	80	Intron (ENSMUST00000238974/ENSMUSG00000036006, intron 1 of 13)	Intron	-4088	13	24798593	24889984	91392	1	ENSMUSG00000036006	ENSMUST00000091694	Mmusculus	bm	62.2
Mouse BM (62.20%)	16	8658044	8658044	1	+	74	Intron (ENSMUST00000023150/ENSMUSG00000022507, intron 2 of 3)	Intron	8859	16	8649185	8661995	12811	1	ENSMUSG00000022507	ENSMUST00000229318	Mmusculus	bm	62.2
Mouse BM (62.20%)	11	23640410	23640410	1	-	66	Intron (ENSMUST00000109525/ENSMUSG00000020280, intron 4 of 17)	Intron	23899	11	23616511	23623281	6771	1	ENSMUSG00000020280	ENSMUST00000143117	Mmusculus	bm	62.2
Mouse BM (62.20%)	8	123096690	123096690	1	+	50	Distal Intergenic	Distal Intergenic	-4086	8	123100776	123103183	2408	1	ENSMUSG00000093682	ENSMUST00000176061	Mmusculus	bm	62.2
Mouse BM (62.20%)	5	137163854	137163854	1	-	43	3' UTR	3' UTR	4121	5	137163809	137167975	4167	2	ENSMUSG00000037390	ENSMUST00000160630	Mmusculus	bm	62.2
Mouse BM (62.20%)	5	147167550	147167550	1	+	37	Intron (ENSMUST00000174285/ENSMUSG00000092570, intron 5 of 5)	Intron	-30487	5	147136934	147137063	130	2	ENSMUSG00000077735	ENSMUST00000104547	Mmusculus	bm	62.2
